err_whole, err1, err2, err3, err4, err5, err6, err7, err8, err9
7.044932469691669516e-03,4.163807915712424562e-03,6.949850645712400687e-03,1.099232042484984441e-02,1.059121491271444553e-02,5.496906530131848330e-03,4.826512943849515722e-03,5.558626807140355959e-03,7.246154414298814316e-03,6.290336713651060660e-03
7.600501534040467189e-03,3.673319147244776244e-03,7.043208910809861147e-03,9.625685648996282207e-03,1.541713388844212149e-02,5.145465923168276307e-03,3.932140944537083731e-03,6.130835795160859310e-03,7.721020365533633190e-03,3.416818975573950468e-03
9.376011091039401779e-03,4.012909832610610933e-03,6.390322206689938965e-03,8.488159531464745805e-03,2.191320898030795633e-02,5.311923266197844662e-03,5.242056836353213393e-03,6.590981341139515171e-03,8.862547931252068648e-03,4.704674135073157355e-03
8.543154999969361507e-03,6.716423936332790827e-03,7.592483186525501339e-03,9.274459650976701885e-03,1.851164388522019352e-02,5.518659449006241453e-03,4.708251419787944092e-03,5.823246424793071183e-03,7.590119494387235349e-03,2.817150691254697616e-03
7.706447206767049612e-03,5.342571893919323932e-03,6.303718051776499576e-03,1.425577814617723892e-02,1.186017614083993005e-02,4.916076396837981873e-03,4.459670123620904092e-03,5.936506933781531513e-03,8.538365193622809643e-03,8.627259174182643972e-03
7.978881456053738344e-03,4.996014575868547303e-03,7.004971989845103046e-03,1.358842120636930516e-02,1.294940213410537139e-02,5.260312278074833620e-03,5.344196641322601637e-03,5.568910601810436387e-03,7.589561729118337631e-03,7.679220177004160951e-03
7.616624446045884046e-03,4.816457724966430320e-03,6.937757235231808116e-03,1.401147529260629403e-02,1.072131176221057663e-02,5.068304379160957877e-03,4.248155502866351844e-03,5.401322949296151303e-03,7.626038644530530423e-03,9.403363888904140919e-03
6.896024144798534872e-03,4.281719898312181388e-03,6.742476849468131105e-03,7.301306579084250632e-03,1.067301648224830250e-02,5.405777612383727559e-03,5.692747997663212198e-03,6.289740791248694431e-03,8.742777999411541559e-03,5.906450660039645056e-03
7.143369719592253080e-03,4.550272674148161944e-03,6.749834254307359588e-03,8.948512734298870452e-03,1.233966276601039351e-02,5.514087538073946491e-03,4.591430834940953692e-03,5.900784109348640449e-03,8.729501332103581368e-03,5.998288542088009087e-03
7.439177082834462322e-03,6.818893946502620554e-03,7.215018504048408172e-03,6.730313382808953727e-03,1.420949899973430672e-02,5.241422493464564271e-03,5.215294418872703543e-03,5.548855220058661504e-03,9.955046970212235585e-03,3.813973315497611559e-03
8.805961002758886172e-03,2.797808392010915201e-03,6.252059761946822392e-03,1.642628648915563788e-02,1.209438874636603774e-02,5.360559197544609994e-03,6.409971180886226555e-03,6.748662194114446629e-03,8.966862049066470428e-03,1.172332434247861863e-02
7.149561047086905145e-03,8.060554674357976734e-03,6.378935437820080177e-03,8.224515330660035761e-03,1.101758505463439584e-02,6.109541731702227904e-03,5.448942769261473119e-03,5.850842411011924343e-03,7.601545751136520521e-03,7.955835558894952531e-03
