err_whole, err1, err2, err3, err4, err5, err6, err7, err8, err9
5.314598575580482542e-01,1.089671387739739927e+00,5.819267524771815081e-01,5.394378584044107194e-01,5.091652215304283136e-01,2.692402922373396401e-01,5.654043488746851587e-01,5.181790308445898274e-01,4.760488380692695642e-01,6.425067960037963433e-01
4.494359907341101135e-01,1.093495331412657867e+00,3.595865134508278160e-01,3.056167756804823998e-01,4.018382484312660874e-01,6.240875697584981063e-01,4.099685044025774272e-01,3.597673197596902850e-01,6.066666917645610058e-01,4.542862960812394935e-01
1.311415567275115990e-01,4.248272998255184785e-01,9.916903014708333686e-02,2.929953907453108908e-01,1.524367071612238722e-01,5.136543054111810530e-02,7.153815333918202291e-02,1.484166433524048978e-01,2.132523809969955331e-01,1.135407858303924683e-01
2.281632635360886785e-01,2.509840065361713113e-01,2.598689057229562338e-01,1.243676767900310232e-01,1.785886081012819648e-01,1.914759758500291509e-01,2.426425624382492485e-01,3.070506304033835954e-01,1.484309467434790919e-01,2.462383566354639231e-01
3.430283382808635428e-01,6.415486160996343168e-01,3.866003745061155628e-01,4.608434828085670176e-01,3.093964920032680754e-01,2.954372891515864574e-01,3.315890221783446279e-01,3.518072710890818300e-01,2.378817623415342697e-01,2.865638577820034394e-01
3.683712400584469027e-01,6.017586776746649546e-01,4.401298001370260726e-01,5.072429349145834987e-01,3.016200884817238359e-01,2.983778021164167349e-01,3.374750294146967589e-01,3.423475274456170836e-01,3.667544863900791263e-01,3.346075958985836873e-01
3.949950854527088384e-01,7.396948384633705853e-01,4.335958012102903436e-01,3.623230381556865609e-01,3.495107957224789508e-01,3.795039240068635022e-01,3.936521660814596979e-01,4.116805627890491870e-01,3.930128304263363903e-01,3.769107245517908655e-01
4.481595146582353917e-01,7.152057570991086077e-01,5.023559293243029522e-01,5.420412936817086136e-01,4.263120732065232010e-01,3.951471582191138920e-01,4.257653642933781346e-01,4.482060689560636302e-01,3.988955747253659090e-01,4.133944338579657596e-01
4.517305222969119627e-01,5.944591564086998403e-01,5.076687108723346720e-01,5.277984928323099512e-01,4.000441343436730857e-01,4.028693100564029739e-01,4.388151524078063304e-01,4.638817192905000941e-01,3.919477113799132995e-01,4.357725754055788991e-01
4.522127336800611519e-01,6.184234865669697712e-01,4.869392692727806948e-01,4.476757231051661234e-01,4.067172961633252481e-01,4.149266613258095204e-01,4.651235415411505425e-01,4.675253333958578339e-01,3.842929681162861044e-01,4.563227113130959856e-01
4.554668020066733325e-01,5.928922364373075959e-01,4.758983647796422023e-01,5.035807484168206560e-01,4.384536664201217349e-01,4.181725309233287891e-01,4.516513405678884707e-01,4.704175041278376712e-01,4.065213417382497751e-01,4.620687959300930348e-01
4.597852319183601266e-01,5.327420830687052966e-01,4.910277609883398342e-01,4.907527721185342418e-01,4.320809103548118313e-01,4.349064048036172525e-01,4.535296068578489326e-01,4.604156648111238370e-01,4.398430423256717847e-01,4.577015217549335602e-01
4.418302640965218187e-01,5.212945631811352065e-01,4.514203162945394920e-01,4.379561923779413113e-01,4.321952822916363401e-01,4.285162593459319602e-01,4.434939180218753219e-01,4.438081990370262297e-01,4.417611680879692249e-01,4.468626801435511275e-01
4.351272469413506316e-01,5.174638274378717817e-01,4.446630771069141064e-01,4.490397637453657498e-01,4.238510702129304475e-01,4.245067512029819801e-01,4.383703278448383145e-01,4.383870401214718937e-01,4.197594425378065597e-01,4.253868592414601912e-01
4.270420458261005026e-01,4.865359966771603539e-01,4.407463081719450448e-01,4.598700675263322490e-01,4.186745849849429213e-01,4.139877495493299864e-01,4.214822327626090992e-01,4.331373312554859800e-01,4.058922714577816726e-01,4.185986172468416089e-01
4.200226483092748264e-01,4.768778861053871165e-01,4.424953839172515724e-01,4.319721616855292101e-01,4.056137810205723282e-01,4.000292066562514681e-01,4.184894687837878990e-01,4.278930016641631640e-01,3.957509927108593950e-01,4.149152863992611739e-01
4.107134910983741283e-01,4.762009235504562343e-01,4.248624351922974385e-01,4.212409224933643115e-01,3.924486320734996148e-01,3.923932328693460203e-01,4.140089291338506228e-01,4.189363268996377232e-01,3.874383621848590531e-01,4.135028002639816180e-01
4.014548776518138684e-01,4.609690898876819265e-01,4.158513195493857562e-01,4.211863573751034040e-01,3.878102010637684560e-01,3.833194700260905696e-01,4.025736646587083634e-01,4.064795430940364995e-01,3.838532171087334910e-01,3.975270749473199805e-01
3.893817506094951475e-01,4.445550322549321476e-01,4.047978032304464513e-01,4.066636053118047323e-01,3.718640526597551399e-01,3.751415171046570407e-01,3.893185800501980376e-01,3.950637496957573602e-01,3.744583617760082195e-01,3.852702393805967351e-01
3.777010442257352496e-01,4.367253562366904540e-01,3.931952885739968262e-01,3.905396724137007447e-01,3.659922403839580007e-01,3.625385719316031041e-01,3.768138869236307698e-01,3.841427047808711470e-01,3.596546548129253562e-01,3.738951117995007456e-01
3.672944745627396146e-01,4.232031761508250334e-01,3.816648785271908872e-01,3.841034618340851692e-01,3.529663580788549582e-01,3.512578144601517516e-01,3.673775632137578628e-01,3.737348934267856193e-01,3.470010822696720787e-01,3.657629339771984456e-01
3.567105769462272091e-01,4.072913930787778747e-01,3.726744299319759701e-01,3.755321898068295638e-01,3.389909943326637753e-01,3.426188236884173399e-01,3.568611119330907799e-01,3.627747284702565467e-01,3.370457157385098323e-01,3.510015037745747857e-01
3.464675522354042081e-01,3.960085324245285476e-01,3.613984003293274627e-01,3.587783299823567029e-01,3.292216355910338454e-01,3.326697329447063090e-01,3.464306943310635489e-01,3.515925379339854273e-01,3.316225327570832548e-01,3.463295040190967899e-01
3.358681514927906453e-01,3.852682168093196080e-01,3.495024207041466102e-01,3.495951335522721193e-01,3.164113144828285540e-01,3.225839730733001676e-01,3.369408251771975893e-01,3.416021777945023041e-01,3.230383301362299564e-01,3.353460226838140268e-01
3.259976560888723784e-01,3.730815852257152732e-01,3.399894826704114026e-01,3.416848696555699338e-01,3.081642657738475344e-01,3.129984321378523338e-01,3.261565889402054386e-01,3.316178820010192707e-01,3.115861627085115826e-01,3.239833871149542244e-01
3.159288974850160137e-01,3.631374350484237179e-01,3.291247730867539745e-01,3.300616406229612831e-01,2.984267018706945329e-01,3.034361704821066374e-01,3.160857687018003293e-01,3.210725722821541339e-01,3.030595081897363707e-01,3.153861958233286078e-01
3.053318011247358466e-01,3.531306568802596302e-01,3.202889669943139173e-01,3.197800291777611048e-01,2.821790710497348309e-01,2.944805570793587735e-01,3.065796288308759721e-01,3.116403848467742543e-01,2.930059360013576031e-01,3.004968879039942031e-01
2.984210531341217609e-01,3.421735015796105728e-01,3.093815987843471227e-01,3.113584770698479831e-01,2.878650832029289175e-01,2.855498760923594337e-01,2.974807057364778351e-01,3.021804526937713620e-01,2.865632739637721804e-01,2.998631555700604912e-01
2.864559920669312865e-01,3.319515469807595154e-01,3.012741258544254785e-01,3.015058333573935601e-01,2.599251807839593198e-01,2.759408240092708353e-01,2.882280850010705553e-01,2.932187517930959775e-01,2.758599333554304089e-01,2.823754990614036342e-01
2.794349185474106489e-01,3.204836392229205022e-01,2.915051613209436177e-01,2.906163981564218735e-01,2.655030302094253947e-01,2.675292889313161115e-01,2.790242322965246768e-01,2.834762420866300259e-01,2.700194731188642616e-01,2.797381737189184592e-01
2.706736719852014805e-01,3.100092607296028313e-01,2.824079423184672755e-01,2.836518630169664323e-01,2.598933248899737980e-01,2.593203886054208374e-01,2.703849132039424785e-01,2.751149644512303483e-01,2.598785340662086996e-01,2.659404933659992865e-01
2.609945796896962489e-01,2.993358676147156450e-01,2.728491777436157228e-01,2.740411630247773234e-01,2.413877164967194455e-01,2.504839551438406975e-01,2.617732441170848023e-01,2.660668691915323292e-01,2.518920125504805485e-01,2.607662999149273908e-01
2.523464961072116597e-01,2.899378440801980150e-01,2.629536138653125188e-01,2.636752502445577351e-01,2.348434985960893007e-01,2.428508300176036583e-01,2.529799905219743406e-01,2.571276623986401555e-01,2.428427432491853943e-01,2.529194482468736793e-01
